id_str,tweet_url,created_at,text,lang,retweet_count,screen_name,hashtags,query,in_reply_to_screen_name,in_reply_to_status_id,user_mention,url,lat,lng,media
379007237777534976,https://twitter.com/amyyyyyyxo/status/379007237777534976,2013-09-14 22:22:21+00:00,Might cut my hair off tomorrow #yolo,en,0,amyyyyyyxo,yolo,lang:en #yolo,,,,,,,
379007237206724608,https://twitter.com/michaelcbigelow/status/379007237206724608,2013-09-14 22:22:21+00:00,At a bonfire party #yolo http://t.co/qMH9Lk2LM0,en,0,michaelcbigelow,yolo,lang:en #yolo,,,,,,,https://pbs.twimg.com/media/BUKBEvWCEAEq7hw.jpg
379007204990648320,https://twitter.com/brfcelliot/status/379007204990648320,2013-09-14 22:22:13+00:00,Holloway should just speak his mind #Yolo,en,0,brfcelliot,Yolo,lang:en #yolo,,,,,,,
379007198321315840,https://twitter.com/thonboyo/status/379007198321315840,2013-09-14 22:22:12+00:00,RT @NoPoliceman: Chugging weed brownies in the bathroom during lunch. Gonna be so high off drugs #YOLO,en,216,thonboyo,YOLO,lang:en #yolo,,,NoPoliceman,,,,
379007128566247424,https://twitter.com/ayeitzcaitlin/status/379007128566247424,2013-09-14 22:21:55+00:00,"@Kennedy69_John yeah, and it's sad how you've posted 4 photos already on twitter of vicky😄 '#yolo'",en,0,ayeitzcaitlin,yolo,lang:en #yolo,Kennedy69_John,379006603049336833,Kennedy69_John,,,,
379007116809633792,https://twitter.com/OH__MYah/status/379007116809633792,2013-09-14 22:21:52+00:00,RT @djspinbad: Ok fine. I’ll take a nap #yolo,en,1,OH__MYah,yolo,lang:en #yolo,,,djspinbad,,,,
379007105170411521,https://twitter.com/ohheyitsandrea/status/379007105170411521,2013-09-14 22:21:50+00:00,Sometimes I like to put shoes on my hands and walk around like I'm a dog and growl at cats #swag #yolo,en,1,ohheyitsandrea,swag,lang:en #yolo,,,,,,,
379007075822489600,https://twitter.com/Esteban_Andrad/status/379007075822489600,2013-09-14 22:21:43+00:00,RT @iPhilosophe: #esteban #me #funny #afternoon #with #a #friend #big #smile #tattoo #piercing #swag #yolo http://t.co/shEawfx6hx,en,1,Esteban_Andrad,esteban,lang:en #yolo,,,iPhilosophe,http://instagram.com/p/eQeAnXNJhH/,,,
379007051063914496,https://twitter.com/SchendelEllie/status/379007051063914496,2013-09-14 22:21:37+00:00,MIX it up #yolo http://t.co/atwNMNwLGa,en,1,SchendelEllie,yolo,lang:en #yolo,,,,,,,https://pbs.twimg.com/media/BUKA55rIEAE_ZAY.jpg
379007048202977281,https://twitter.com/Esteban_Andrad/status/379007048202977281,2013-09-14 22:21:36+00:00,RT @iPhilosophe: #scary #moments #friends #esteban #me #tomorrowland #yolo #urban #style #smile #laughing http://t.co/vtj7iFs7zn,en,1,Esteban_Andrad,scary,lang:en #yolo,,,iPhilosophe,http://instagram.com/p/eQdk3PNJgW/,,,
